Date_Time,CO_sensor,RH,Month,Day,Hour,CO_sensor_lag_1,CO_sensor_lag_24,RH_lag_1,RH_lag_24,Month_sin,Month_cos,Day_sin,Day_cos,Hour_sin,Hour_cos
2004-04-05 00:00:00,1102.0,64.4,4,5,0,1188.0,1224.0,60.8,56.5,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.0,1.0
2004-04-05 01:00:00,969.0,63.3,4,5,1,1102.0,1215.0,64.4,59.2,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.2697967711570243,0.9629172873477994
2004-04-05 02:00:00,983.0,61.5,4,5,2,969.0,1115.0,63.3,62.4,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.5195839500354336,0.8544194045464886
2004-04-05 03:00:00,876.0,56.9,4,5,3,983.0,1124.0,61.5,65.0,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.730835964278124,0.6825531432186541
2004-04-05 04:00:00,884.0,54.0,4,5,4,876.0,1028.0,56.9,65.3,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.8878852184023752,0.4600650377311522
2004-04-05 05:00:00,1024.0,63.9,4,5,5,884.0,1010.0,54.0,66.5,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.9790840876823228,0.20345601305263397
2004-04-05 06:00:00,1126.0,65.3,4,5,6,1024.0,1074.0,63.9,69.1,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.9976687691905392,-0.06824241336467088
2004-04-05 07:00:00,1415.0,62.5,4,5,7,1126.0,1034.0,65.3,64.8,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.9422609221188205,-0.33487961217098616
2004-04-05 08:00:00,1631.0,58.8,4,5,8,1415.0,1130.0,62.5,59.0,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.8169698930104421,-0.5766803221148671
2004-04-05 09:00:00,1499.0,56.7,4,5,9,1631.0,1275.0,58.8,49.8,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.631087944326053,-0.7757112907044197
2004-04-05 10:00:00,1461.0,57.4,4,5,10,1499.0,1324.0,56.7,40.7,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.3984010898462418,-0.9172113015054528
2004-04-05 11:00:00,1430.0,55.2,4,5,11,1461.0,1268.0,57.4,37.1,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.13616664909624665,-0.9906859460363308
2004-04-05 12:00:00,1498.0,54.3,4,5,12,1430.0,1272.0,55.2,33.8,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,-0.1361666490962464,-0.9906859460363308
